age,year,data
1,1957,32356
2,1957,49911
3,1957,69038
4,1957,45627
5,1957,32732
6,1957,8910
7,1957,11029
8,1957,9028
9,1957,4973
10,1957,10859
1,1958,66199
2,1958,80681
3,1958,45860
4,1958,64619
5,1958,36249
6,1958,19659
7,1958,8178
8,1958,8000
9,1958,6110
10,1958,13148
1,1959,116086
2,1959,144327
3,1959,76829
4,1959,36896
5,1959,45836
6,1959,23042
7,1959,13873
8,1959,6408
9,1959,6596
10,1959,16180
1,1960,73939
2,1960,173852
3,1960,106824
4,1960,52019
5,1960,22388
6,1960,27848
7,1960,14186
8,1960,9013
9,1960,5087
10,1960,15153
1,1961,75578
2,1961,146873
3,1961,122406
4,1961,68444
5,1961,34311
6,1961,12889
7,1961,14680
8,1961,9748
9,1961,5996
10,1961,14660
1,1962,51265
2,1962,183468
3,1962,123475
4,1962,88495
5,1962,50859
6,1962,20814
7,1962,9060
8,1962,9035
9,1962,5257
10,1962,12801
1,1963,90913
2,1963,140523
3,1963,151249
4,1963,86890
5,1963,56476
6,1963,31987
7,1963,12848
8,1963,6833
9,1963,7047
10,1963,16592
1,1964,66035
2,1964,167982
3,1964,104642
4,1964,98560
5,1964,60419
6,1964,37414
7,1964,15819
8,1964,6595
9,1964,3980
10,1964,16886
1,1965,43708
2,1965,435879
3,1965,101464
4,1965,56592
5,1965,44597
6,1965,30418
7,1965,18361
8,1965,8554
9,1965,4213
10,1965,17587
1,1966,38496
2,1966,167269
3,1966,414367
4,1966,65887
5,1966,38069
6,1966,27495
7,1966,16500
8,1966,10784
9,1966,6467
10,1966,14928
1,1967,20199
2,1967,139527
3,1967,117836
4,1967,265413
5,1967,42006
6,1967,22313
7,1967,16175
8,1967,8004
9,1967,6728
10,1967,11175
1,1968,73971
2,1968,81666
3,1968,87037
4,1968,64670
5,1968,146055
6,1968,17197
7,1968,10341
8,1968,10102
9,1968,3925
10,1968,13365
1,1969,85195
2,1969,82395
3,1969,61934
4,1969,55418
5,1969,36358
6,1969,104038
7,1969,10410
8,1969,6086
9,1969,8192
10,1969,16092
1,1970,123645
2,1970,169774
3,1970,78921
4,1970,57440
5,1970,45747
6,1970,35235
7,1970,78886
8,1970,6311
9,1970,4185
10,1970,14840
1,1971,69356
2,1971,126559
3,1971,90636
4,1971,36150
5,1971,26485
6,1971,22984
7,1971,16913
8,1971,29730
9,1971,6414
10,1971,16910
1,1972,72235
2,1972,91998
3,1972,96098
4,1972,58620
5,1972,23610
6,1972,17071
7,1972,14380
8,1972,10903
9,1972,18585
10,1972,15651
1,1973,133620
2,1973,81548
3,1973,63107
4,1973,73738
5,1973,43544
6,1973,13884
7,1973,8885
8,1973,9848
9,1973,6084
10,1973,23978
1,1974,213362
2,1974,331531
3,1974,59200
4,1974,42410
5,1974,41686
6,1974,19775
7,1974,8005
8,1974,6321
9,1974,5568
10,1974,21980
1,1975,245950
2,1975,308254
3,1975,252159
4,1975,36069
5,1975,25672
6,1975,21311
7,1975,11873
8,1975,5923
9,1975,4106
10,1975,19695
1,1976,186699
2,1976,174564
3,1976,148703
4,1976,114411
5,1976,13953
6,1976,9945
7,1976,9120
8,1976,6391
9,1976,2947
10,1976,12552
1,1977,259848
2,1977,160665
3,1977,122606
4,1977,99565
5,1977,93022
6,1977,9271
7,1977,5912
8,1977,5022
9,1977,4061
10,1977,9191
1,1978,228015
2,1978,214691
3,1978,89600
4,1978,65116
5,1978,51346
6,1978,36080
7,1978,5940
8,1978,3352
9,1978,2419
10,1978,7468
1,1979,294484
2,1979,273115
3,1979,176441
4,1979,67344
5,1979,48475
6,1979,40242
7,1979,24228
8,1979,4161
9,1979,2807
10,1979,9288
1,1980,227350
2,1980,187465
3,1980,134673
4,1980,78210
5,1980,25167
6,1980,18068
7,1980,13761
8,1980,8458
9,1980,1864
10,1980,5377
1,1981,134395
2,1981,294168
3,1981,124146
4,1981,57977
5,1981,36176
6,1981,12469
7,1981,9564
8,1981,8092
9,1981,4874
10,1981,5903
1,1982,414641
2,1982,252348
3,1982,213631
4,1982,70653
5,1982,28871
6,1982,16824
7,1982,7589
8,1982,5470
9,1982,4482
10,1982,8653
1,1983,262614
2,1983,556026
3,1983,145750
4,1983,101311
5,1983,30163
6,1983,12978
7,1983,8216
8,1983,4193
9,1983,3013
10,1983,8287
1,1984,310783
2,1984,376742
3,1984,326860
4,1984,78078
5,1984,38960
6,1984,13730
7,1984,6465
8,1984,5544
9,1984,2720
10,1984,6565
1,1985,405506
2,1985,302760
3,1985,179882
4,1985,187424
5,1985,32720
6,1985,15622
7,1985,6871
8,1985,3650
9,1985,2698
10,1985,5798
1,1986,1119019
2,1986,558090
3,1986,212227
4,1986,120271
5,1986,85930
6,1986,24195
7,1986,9299
8,1986,4490
9,1986,2733
10,1986,6950
1,1987,361519
2,1987,1459325
3,1987,296920
4,1987,112666
5,1987,66106
6,1987,34976
7,1987,11452
8,1987,4341
9,1987,2154
10,1987,5478
1,1988,348597
2,1988,623255
3,1988,710060
4,1988,135502
5,1988,48262
6,1988,25268
7,1988,16774
8,1988,5381
9,1988,3162
10,1988,6233
1,1989,214552
2,1989,532602
3,1989,299105
4,1989,317172
5,1989,60133
6,1989,19362
7,1989,10567
8,1989,7561
9,1989,2120
10,1989,5580
1,1990,146864
2,1990,311831
3,1990,266440
4,1990,139099
5,1990,164825
6,1990,26934
7,1990,8129
8,1990,4216
9,1990,3451
10,1990,3808
1,1991,184587
2,1991,344841
3,1991,225170
4,1991,156894
5,1991,78489
6,1991,78496
7,1991,14910
8,1991,5233
9,1991,3141
10,1991,5591
1,1992,142165
2,1992,263573
3,1992,179701
4,1992,106842
5,1992,77010
6,1992,34286
7,1992,29547
8,1992,6970
9,1992,3200
10,1992,6928
1,1993,99832
2,1993,208032
3,1993,146463
4,1993,84252
5,1993,53040
6,1993,29217
7,1993,13472
8,1993,11272
9,1993,3645
10,1993,5883
1,1994,63516
2,1994,140851
3,1994,137320
4,1994,81274
5,1994,39364
6,1994,20532
7,1994,15323
8,1994,6399
9,1994,5368
10,1994,5433
1,1995,126614
2,1995,119251
3,1995,97151
4,1995,79230
5,1995,37162
6,1995,18073
7,1995,9772
8,1995,4366
9,1995,2336
10,1995,3753
1,1996,112354
2,1996,373561
3,1996,91988
4,1996,50289
5,1996,32581
6,1996,14576
7,1996,10605
8,1996,4528
9,1996,2624
10,1996,4892
1,1997,129545
2,1997,553773
3,1997,280776
4,1997,44257
5,1997,22812
6,1997,13626
7,1997,6362
8,1997,3632
9,1997,2179
10,1997,4181
1,1998,104734
2,1998,676651
3,1998,260551
4,1998,109683
5,1998,17010
6,1998,6465
7,1998,4986
8,1998,2506
9,1998,1761
10,1998,3119
1,1999,127870
2,1999,217090
3,1999,387740
4,1999,94726
5,1999,24390
6,1999,6887
7,1999,2783
8,1999,2246
9,1999,1521
10,1999,3093
1,2000,106056
2,2000,187647
3,2000,91904
4,2000,230201
5,2000,16625
6,2000,9655
7,2000,2399
8,2000,1198
9,2000,940
10,2000,2097
1,2001,34804
2,2001,388808
3,2001,240444
4,2001,123671
5,2001,144551
6,2001,7048
7,2001,4464
8,2001,1128
9,2001,637
10,2001,2309
1,2002,311003
2,2002,193978
3,2002,136274
4,2002,61739
5,2002,38681
6,2002,38638
7,2002,4763
8,2002,1789
9,2002,742
10,2002,1586
1,2003,68309
2,2003,560788
3,2003,101562
4,2003,68836
5,2003,31339
6,2003,16454
7,2003,22821
8,2003,1609
9,2003,650
10,2003,859
1,2004,233397
2,2004,191141
3,2004,221343
4,2004,43238
5,2004,22201
6,2004,11650
7,2004,4830
8,2004,4556
9,2004,412
10,2004,540
1,2005,96478
2,2005,342682
3,2005,72076
4,2005,103120
5,2005,21746
6,2005,15610
7,2005,5489
8,2005,2615
9,2005,2223
10,2005,613
1,2006,220828
2,2006,244064
3,2006,177680
4,2006,35910
5,2006,45525
6,2006,6965
7,2006,5721
8,2006,2247
9,2006,1235
10,2006,1319
1,2007,78598
2,2007,224345
3,2007,106621
4,2007,57788
5,2007,16408
6,2007,24293
7,2007,2663
8,2007,3505
9,2007,543
10,2007,1259
1,2008,135786
2,2008,263599
3,2008,80258
4,2008,44207
5,2008,31758
6,2008,6217
7,2008,15634
8,2008,1803
9,2008,673
10,2008,896
